wh_id,container_id,arrive_datetime,cut_datetime,pull_datetime,item_number,quantity,pick_location,print_zone,pick_aisle,picking_flow_as_int,released_flag
AVP1,1062836562,2025-03-04 01:32:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76093,1.0,S3-09-A01,1,3,2542,0
AVP1,1062836562,2025-03-04 01:32:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76096,1.0,22-46-A01,3,23,222538,0
AVP1,1062836609,2025-03-04 01:32:00,2025-03-06 18:00:00,2025-03-06 21:00:00,145302,1.0,37-22-B01,4,30,280756,0
AVP1,1062836609,2025-03-04 01:32:00,2025-03-06 18:00:00,2025-03-06 21:00:00,151158,1.0,71-17-C02,5,48,502823,0
AVP1,1062836609,2025-03-04 01:32:00,2025-03-06 18:00:00,2025-03-06 21:00:00,203188,1.0,43-10-A01,4,34,323954,0
AVP1,1062836609,2025-03-04 01:32:00,2025-03-06 18:00:00,2025-03-06 21:00:00,50845,1.0,46-36-A02,4,36,343157,0
AVP1,1062845593,2025-03-04 01:42:00,2025-03-06 15:00:00,2025-03-06 18:00:00,106582,1.0,18-17-A02,3,21,195469,0
AVP1,1062845593,2025-03-04 01:42:00,2025-03-06 15:00:00,2025-03-06 18:00:00,75978,1.0,05-01-X03,2,14,66428,0
AVP1,1062845593,2025-03-04 01:42:00,2025-03-06 15:00:00,2025-03-06 18:00:00,75992,1.0,18-30-A02,3,21,196563,0
AVP1,1062845593,2025-03-04 01:42:00,2025-03-06 15:00:00,2025-03-06 18:00:00,76096,2.0,22-46-A01,3,23,222538,0
AVP1,1062861899,2025-03-04 01:42:00,2025-03-06 23:00:00,2025-03-07 02:00:00,352972,1.0,48-07-A02,5,37,352802,0
AVP1,1062861899,2025-03-04 01:42:00,2025-03-06 23:00:00,2025-03-07 02:00:00,75978,1.0,05-01-X03,2,14,66428,0
AVP1,1062861899,2025-03-04 01:42:00,2025-03-06 23:00:00,2025-03-07 02:00:00,76096,1.0,22-46-A01,3,23,222538,0
AVP1,1062869224,2025-03-04 02:12:00,2025-03-06 18:00:00,2025-03-06 21:00:00,157806,1.0,40-34-A01,4,32,303534,0
AVP1,1062869224,2025-03-04 02:12:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76093,3.0,S3-09-A01,1,3,2542,0
AVP1,1062869224,2025-03-04 02:12:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76096,1.0,22-46-A01,3,23,222538,0
AVP1,1062871324,2025-03-04 02:13:00,2025-03-06 18:00:00,2025-03-06 21:00:00,230718,4.0,G-04-A01,2,10,33040,0
AVP1,1062871324,2025-03-04 02:13:00,2025-03-06 18:00:00,2025-03-06 21:00:00,75978,2.0,S9-18-A01,1,6,3004,0
AVP1,1062871324,2025-03-04 02:13:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76093,2.0,S3-09-A01,1,3,2542,0
AVP1,1062871324,2025-03-04 02:13:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76096,1.0,22-46-A01,3,23,222538,0
AVP1,1062875417,2025-03-04 02:16:00,2025-03-06 23:00:00,2025-03-07 02:00:00,102845,2.0,G-11-C03,2,10,32534,0
AVP1,1062875417,2025-03-04 02:16:00,2025-03-06 23:00:00,2025-03-07 02:00:00,311436,1.0,18-12-A02,3,21,195057,0
AVP1,1062875417,2025-03-04 02:16:00,2025-03-06 23:00:00,2025-03-07 02:00:00,76096,4.0,22-46-A01,3,23,222538,0
AVP1,1062875417,2025-03-04 02:16:00,2025-03-06 23:00:00,2025-03-07 02:00:00,79002,4.0,13-40-C02,3,18,176467,0
AVP1,1062887199,2025-03-04 02:31:00,2025-03-06 18:00:00,2025-03-06 21:00:00,108757,1.0,50-26-A02,5,38,357039,0
AVP1,1062887199,2025-03-04 02:31:00,2025-03-06 18:00:00,2025-03-06 21:00:00,108759,1.0,45-49-A02,4,35,335617,0
AVP1,1062887199,2025-03-04 02:31:00,2025-03-06 18:00:00,2025-03-06 21:00:00,1251342,1.0,36-45-C02,4,30,280542,0
AVP1,1062887199,2025-03-04 02:31:00,2025-03-06 18:00:00,2025-03-06 21:00:00,666726,1.0,04-12-C02,2,14,65861,0
AVP1,1062889502,2025-03-04 02:32:00,2025-03-06 18:00:00,2025-03-06 21:00:00,108757,2.0,50-26-A02,5,38,357039,0
AVP1,1062889502,2025-03-04 02:32:00,2025-03-06 18:00:00,2025-03-06 21:00:00,214649,1.0,63-42-A01,5,44,403772,0
AVP1,1062892905,2025-03-04 02:35:00,2025-03-06 18:00:00,2025-03-06 21:00:00,162805,1.0,S4-21-A01,1,3,2519,0
AVP1,1062892905,2025-03-04 02:35:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76093,1.0,S3-09-A01,1,3,2542,0
AVP1,1062892905,2025-03-04 02:35:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76096,1.0,22-46-A01,3,23,222538,0
AVP1,1062901919,2025-03-04 02:42:00,2025-03-06 18:00:00,2025-03-06 21:00:00,1041126,1.0,F-12-C02,2,9,20657,0
AVP1,1062903776,2025-03-04 02:44:00,2025-03-06 18:00:00,2025-03-06 21:00:00,151548,1.0,S5-05-A01,1,4,2636,0
AVP1,1062903776,2025-03-04 02:44:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76093,2.0,S3-09-A01,1,3,2542,0
AVP1,1062903776,2025-03-04 02:44:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76096,2.0,22-46-A01,3,23,222538,0
AVP1,1062911316,2025-03-04 02:54:00,2025-03-06 18:00:00,2025-03-06 21:00:00,113550,1.0,04-39-A02,2,14,62959,0
AVP1,1062911316,2025-03-04 02:54:00,2025-03-06 18:00:00,2025-03-06 21:00:00,54340,1.0,21-41-A02,3,22,205971,0
AVP1,1062911316,2025-03-04 02:54:00,2025-03-06 18:00:00,2025-03-06 21:00:00,75966,1.0,H-32-A02,2,10,30067,0
AVP1,1062912443,2025-03-04 02:55:00,2025-03-06 19:30:00,2025-03-06 22:30:00,1105582,1.0,S0-17-A01,1,1,2151,0
AVP1,1062912443,2025-03-04 02:55:00,2025-03-06 19:30:00,2025-03-06 22:30:00,76096,2.0,22-46-A01,3,23,222538,0
AVP1,1062912503,2025-03-04 02:55:00,2025-03-06 18:00:00,2025-03-06 21:00:00,49010,1.0,G-27-A02,2,10,30453,0
AVP1,1062912503,2025-03-04 02:55:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76027,1.0,20-31-A02,3,22,206769,0
AVP1,1062912503,2025-03-04 02:55:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76035,1.0,15-24-A02,3,19,183274,0
AVP1,1062912503,2025-03-04 02:55:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76045,1.0,01-29-A01,2,12,46240,0
AVP1,1062912503,2025-03-04 02:55:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76096,3.0,22-46-A01,3,23,222538,0
AVP1,1062912506,2025-03-04 02:55:00,2025-03-06 23:00:00,2025-03-07 02:00:00,1022246,1.0,18-18-C02,3,21,195561,0
AVP1,1062912506,2025-03-04 02:55:00,2025-03-06 23:00:00,2025-03-07 02:00:00,659654,1.0,12-08-A01,3,18,176670,0
AVP1,1062912506,2025-03-04 02:55:00,2025-03-06 23:00:00,2025-03-07 02:00:00,80489,1.0,12-41-A02,3,18,176461,0
AVP1,1062919368,2025-03-04 02:35:00,2025-03-06 19:30:00,2025-03-06 22:30:00,157714,1.0,19-14-A01,3,21,195262,0
AVP1,1062919368,2025-03-04 02:35:00,2025-03-06 19:30:00,2025-03-06 22:30:00,157715,1.0,16-13-A01,3,20,190052,0
AVP1,1062919368,2025-03-04 02:35:00,2025-03-06 19:30:00,2025-03-06 22:30:00,75978,1.0,05-01-X03,2,14,66428,0
AVP1,1062919368,2025-03-04 02:35:00,2025-03-06 19:30:00,2025-03-06 22:30:00,76096,1.0,22-46-A01,3,23,222538,0
AVP1,1062920680,2025-03-04 03:02:00,2025-03-06 18:00:00,2025-03-06 21:00:00,106575,1.0,18-14-A01,3,21,195230,0
AVP1,1062920680,2025-03-04 03:02:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76096,2.0,22-46-A01,3,23,222538,0
AVP1,1062920680,2025-03-04 03:02:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76387,2.0,06-36-A01,2,15,73060,0
AVP1,1062925634,2025-03-04 03:10:00,2025-03-06 18:00:00,2025-03-06 21:00:00,164729,2.0,F-25-A02,2,9,21841,0
AVP1,1062925634,2025-03-04 03:10:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76096,3.0,22-46-A01,3,23,222538,0
AVP1,1062925679,2025-03-04 03:10:00,2025-03-06 19:30:00,2025-03-06 22:30:00,75970,1.0,14-25-A02,3,19,183301,0
AVP1,1062925679,2025-03-04 03:10:00,2025-03-06 19:30:00,2025-03-06 22:30:00,75976,1.0,10-38-A01,3,17,172559,0
AVP1,1062925679,2025-03-04 03:10:00,2025-03-06 19:30:00,2025-03-06 22:30:00,76069,1.0,05-49-A02,2,14,62161,0
AVP1,1062926739,2025-03-04 03:12:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76093,1.0,S3-09-A01,1,3,2542,0
AVP1,1062926739,2025-03-04 03:12:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76096,1.0,22-46-A01,3,23,222538,0
AVP1,1062926739,2025-03-04 03:12:00,2025-03-06 18:00:00,2025-03-06 21:00:00,81361,1.0,S7-11-A01,1,5,2830,0
AVP1,1062931205,2025-03-04 03:15:00,2025-03-06 18:00:00,2025-03-06 21:00:00,232315,1.0,58-22-A02,5,42,384000,0
AVP1,1062931205,2025-03-04 03:15:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76093,1.0,S3-09-A01,1,3,2542,0
AVP1,1062931205,2025-03-04 03:15:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76096,2.0,22-46-A01,3,23,222538,0
AVP1,1062933770,2025-03-04 03:16:00,2025-03-06 18:00:00,2025-03-06 21:00:00,108757,1.0,50-26-A02,5,38,357039,0
AVP1,1062933770,2025-03-04 03:16:00,2025-03-06 18:00:00,2025-03-06 21:00:00,552438,1.0,25-24-A02,4,24,232037,0
AVP1,1062941988,2025-03-04 03:27:00,2025-03-06 15:00:00,2025-03-06 18:00:00,1017670,1.0,11-30-C01,3,17,172503,0
AVP1,1062941988,2025-03-04 03:27:00,2025-03-06 15:00:00,2025-03-06 18:00:00,124887,1.0,15-29-A01,3,19,183330,0
AVP1,1062941988,2025-03-04 03:27:00,2025-03-06 15:00:00,2025-03-06 18:00:00,149745,1.0,23-29-A01,3,23,220454,0
AVP1,1062941988,2025-03-04 03:27:00,2025-03-06 15:00:00,2025-03-06 18:00:00,67968,2.0,11-27-A01,3,17,172458,0
AVP1,1062941988,2025-03-04 03:27:00,2025-03-06 15:00:00,2025-03-06 18:00:00,75960,1.0,10-41-A01,3,17,172602,0
AVP1,1062941988,2025-03-04 03:27:00,2025-03-06 15:00:00,2025-03-06 18:00:00,75974,1.0,10-14-A01,3,17,172333,0
AVP1,1062941988,2025-03-04 03:27:00,2025-03-06 15:00:00,2025-03-06 18:00:00,75976,1.0,10-38-A01,3,17,172559,0
AVP1,1062941988,2025-03-04 03:27:00,2025-03-06 15:00:00,2025-03-06 18:00:00,86285,1.0,23-10-A01,3,23,216358,0
AVP1,1062942010,2025-03-04 03:27:00,2025-03-06 18:00:00,2025-03-06 21:00:00,75978,1.0,05-01-X03,2,14,66428,0
AVP1,1062942010,2025-03-04 03:27:00,2025-03-06 18:00:00,2025-03-06 21:00:00,75992,1.0,S3-05-A01,1,3,2556,0
AVP1,1062942010,2025-03-04 03:27:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76096,1.0,22-46-A01,3,23,222538,0
AVP1,1062942105,2025-03-04 03:27:00,2025-03-06 15:00:00,2025-03-06 18:00:00,76677,2.0,28-21-C01,4,26,245859,0
AVP1,1062942420,2025-03-04 03:27:00,2025-03-06 15:00:00,2025-03-06 18:00:00,733462,1.0,37-36-A01,4,30,280627,0
AVP1,1062942420,2025-03-04 03:27:00,2025-03-06 15:00:00,2025-03-06 18:00:00,735662,1.0,59-40-A02,5,42,382527,0
AVP1,1062944059,2025-03-04 03:31:00,2025-03-06 18:00:00,2025-03-06 21:00:00,75962,1.0,02-21-A02,2,13,54271,0
AVP1,1062944059,2025-03-04 03:31:00,2025-03-06 18:00:00,2025-03-06 21:00:00,75966,1.0,H-32-A02,2,10,30067,0
AVP1,1062944059,2025-03-04 03:31:00,2025-03-06 18:00:00,2025-03-06 21:00:00,75974,1.0,10-14-A01,3,17,172333,0
AVP1,1062969885,2025-03-04 00:54:00,2025-03-06 15:00:00,2025-03-06 18:00:00,108755,1.0,26-32-A02,4,25,242804,0
AVP1,1062969885,2025-03-04 00:54:00,2025-03-06 15:00:00,2025-03-06 18:00:00,131618,1.0,36-46-A02,4,30,280535,0
AVP1,1062969885,2025-03-04 00:54:00,2025-03-06 15:00:00,2025-03-06 18:00:00,131620,1.0,36-14-A01,4,30,280834,0
AVP1,1062969885,2025-03-04 00:54:00,2025-03-06 15:00:00,2025-03-06 18:00:00,99184,1.0,46-45-C05,4,36,342438,0
AVP1,1062971150,2025-03-04 01:02:00,2025-03-06 23:00:00,2025-03-07 02:00:00,735590,1.0,56-14-A01,5,41,375007,0
AVP1,1062971367,2025-03-04 01:03:00,2025-03-06 18:00:00,2025-03-06 21:00:00,733462,2.0,37-36-A01,4,30,280627,0
AVP1,1062971367,2025-03-04 01:03:00,2025-03-06 18:00:00,2025-03-06 21:00:00,75778,1.0,34-48-A02,4,29,272860,0
AVP1,1062973047,2025-03-04 01:15:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76093,1.0,S3-09-A01,1,3,2542,0
AVP1,1062973047,2025-03-04 01:15:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76096,1.0,22-46-A01,3,23,222538,0
AVP1,1062973047,2025-03-04 01:15:00,2025-03-06 18:00:00,2025-03-06 21:00:00,80293,2.0,05-07-A01,2,14,66301,0
AVP1,1062975077,2025-03-04 01:32:00,2025-03-06 15:00:00,2025-03-06 18:00:00,352983,1.0,29-30-A02,4,26,245818,0
AVP1,1062987517,2025-03-04 03:03:00,2025-03-06 19:30:00,2025-03-06 22:30:00,75978,1.0,05-01-X03,2,14,66428,0
AVP1,1062987517,2025-03-04 03:03:00,2025-03-06 19:30:00,2025-03-06 22:30:00,75992,1.0,S3-05-A01,1,3,2556,0
AVP1,1062987517,2025-03-04 03:03:00,2025-03-06 19:30:00,2025-03-06 22:30:00,76096,1.0,22-46-A01,3,23,222538,0
AVP1,1062992023,2025-03-04 03:44:00,2025-03-06 18:00:00,2025-03-06 21:00:00,102212,1.0,S6-04-A01,1,4,2635,0
AVP1,1062992023,2025-03-04 03:44:00,2025-03-06 18:00:00,2025-03-06 21:00:00,157668,1.0,03-01-X03,2,13,53023,0
AVP1,1062992023,2025-03-04 03:44:00,2025-03-06 18:00:00,2025-03-06 21:00:00,76096,1.0,22-46-A01,3,23,222538,0
